source_package	dest_package	call_edges	distinct_caller_routines	distinct_callee_routines
Fee Basis	MailMan	26	19	6
Fee Basis	Master Patient Index VistA	6	4	1
Fee Basis	Order Entry Results Reporting	1	1	1
Fee Basis	Registration	46	31	13
Fee Basis	Scheduling	1	1	1
Fee Basis	Toolkit	2	1	1
Fee Basis	VA Certified Components - DSSI	3	1	2
Fee Basis	VA FileMan	1180	402	34
Foundations	Foundations	16	5	3
Foundations	Kernel	10	5	5
Foundations	List Manager	17	2	4
Foundations	VA FileMan	16	6	8
Foundations	VistALink	9	2	1
Functional Independence	Consult Request Tracking	1	1	1
Functional Independence	Functional Independence	7	2	3
Functional Independence	Health Level Seven	5	1	3
Functional Independence	Kernel	7	5	3
Functional Independence	MailMan	4	3	2
Functional Independence	Order Entry Results Reporting	1	1	1
Functional Independence	Registration	5	1	2
Functional Independence	VA FileMan	14	6	5
General Medical Record - Generator	General Medical Record - Generator	114	33	32
General Medical Record - Generator	Kernel	8	7	5
General Medical Record - Generator	Registration	6	3	1
General Medical Record - Generator	VA FileMan	51	26	10
General Medical Record - IO	General Medical Record - IO	214	38	40
General Medical Record - IO	Kernel	8	7	3
General Medical Record - IO	Registration	10	8	2
General Medical Record - IO	VA FileMan	79	32	10
General Medical Record - Vitals	Adverse Reaction Tracking	1	1	1
General Medical Record - Vitals	Clinical Procedures	4	2	2
General Medical Record - Vitals	Clinical Reminders	3	2	2
General Medical Record - Vitals	General Medical Record - IO	10	5	5
General Medical Record - Vitals	General Medical Record - Vitals	613	191	181
General Medical Record - Vitals	Health Data and Informatics	3	2	3
General Medical Record - Vitals	Inpatient Medications	2	2	1
General Medical Record - Vitals	Kernel	187	124	13
General Medical Record - Vitals	MailMan	5	5	1
General Medical Record - Vitals	Nursing Service	5	3	1
General Medical Record - Vitals	Order Entry Results Reporting	16	9	5
General Medical Record - Vitals	Registration	118	73	8
General Medical Record - Vitals	Scheduling	1	1	1
General Medical Record - Vitals	Toolkit	40	15	2
General Medical Record - Vitals	VA FileMan	172	80	15
General Medical Record - Vitals	VDEF	6	3	4
Generic Code Sheet	Generic Code Sheet	143	34	31
Generic Code Sheet	Kernel	5	3	3
Generic Code Sheet	MailMan	5	5	2
Generic Code Sheet	VA FileMan	75	36	14
Graphics	Graphics	9	3	9
Graphics	ODS	1	1	1
Graphics	Registration	37	8	12
Graphics	VA FileMan	69	7	11
HINQ	Accounts Receivable	2	1	1
